horizon_s,variant,feature_set,model,folds,test_rows_total,accuracy_evaluable_folds,accuracy_mean,accuracy_sd,macro_f1_evaluable_folds,macro_f1_mean,macro_f1_sd,precision_evaluable_folds,precision_mean,precision_sd,recall_evaluable_folds,recall_mean,recall_sd,f1_positive_evaluable_folds,f1_positive_mean,f1_positive_sd,roc_auc_evaluable_folds,roc_auc_mean,roc_auc_sd,pr_auc_evaluable_folds,pr_auc_mean,pr_auc_sd,brier_evaluable_folds,brier_mean,brier_sd,positive_rate_evaluable_folds,positive_rate_mean,positive_rate_sd
5,all_sessions,full_graph_no_soc,ExtraTrees,5,7204,5,0.9797784740402846,0.02083124889397796,5,0.6036518245870683,0.1550539489464374,5,0.2392156862745098,0.3311346169817184,5,0.205249343832021,0.30846539743205226,5,0.21772551772551774,0.3130908276332679,3,0.9629461133663444,0.03204181450854305,3,0.5804255446956207,0.21542943517864416,5,0.018640384857437298,0.019183905723452643,5,0.023552738908472415,0.023646133364033296
5,all_sessions,full_graph_no_soc,HistGradientBoosting,5,7204,5,0.9754750725547418,0.024248470047637423,5,0.6438277082913694,0.15928383131205684,5,0.2925842299536637,0.3339096756032468,5,0.3232395950506187,0.3260118034332849,5,0.3004553010577107,0.32572059520753716,3,0.9421882221304028,0.04754419783142507,3,0.540027836357953,0.29175894539781105,5,0.01628719278311615,0.014982809362548932,5,0.023552738908472415,0.023646133364033296
5,all_sessions,full_graph_no_soc,LogisticRegression,5,7204,5,0.9700212055413042,0.028464570506304455,5,0.6055176302664014,0.11622613944259642,5,0.23365836250880084,0.27205534009425825,5,0.2371036953714119,0.23202262090380782,5,0.22665638455112141,0.24238972732557756,3,0.9364038581957205,0.039756682467153866,3,0.3634959549412134,0.22419957606010957,5,0.01853552190728358,0.017563001699193493,5,0.023552738908472415,0.023646133364033296
5,all_sessions,full_graph_no_soc,RandomForest,5,7204,5,0.9845739999539713,0.014878483959433237,5,0.6737581358902647,0.17234357134560996,5,0.4014015709376534,0.3786797903449265,5,0.32480106653335,0.3338164878130757,5,0.3555309625403664,0.3516054007302438,3,0.9692252029545325,0.026064764807883282,3,0.597745798703527,0.2671297774934823,5,0.01571377139051664,0.014831614112773677,5,0.023552738908472415,0.023646133364033296
5,all_sessions,no_graph,ExtraTrees,5,7204,5,0.968970458862708,0.028571012460666262,5,0.5351355089834627,0.05411933874873794,5,0.1136431784107946,0.18035349521126356,5,0.09658792650918635,0.14734909071528124,5,0.08628357701462089,0.11818156738029598,3,0.9563830078469612,0.03138934568646554,3,0.4671303725363409,0.1738094112444253,5,0.02149209294820439,0.020292747672932872,5,0.023552738908472415,0.023646133364033296
5,all_sessions,no_graph,HistGradientBoosting,5,7204,5,0.9702324800823814,0.02953371964946741,5,0.6002032585824113,0.12684014847633512,5,0.264120082815735,0.30762058459454056,5,0.23307086614173228,0.27896570892287925,5,0.2159198716658713,0.26109385432576404,3,0.930109323085382,0.05280297069470656,3,0.46682425436160435,0.1540264127114619,5,0.018890519913524605,0.017600456660940383,5,0.023552738908472415,0.023646133364033296
5,all_sessions,no_graph,LogisticRegression,5,7204,5,0.971342171982727,0.02620719637202555,5,0.6211562411958065,0.12507319647449933,5,0.24055865921787709,0.2517234375107505,5,0.2939015956338791,0.29998172085911806,5,0.25729564553093964,0.26209020997389093,3,0.9519415861986315,0.0368890408350703,3,0.46006357258425207,0.24547920026150608,5,0.018660568846949457,0.017581366720615808,5,0.023552738908472415,0.023646133364033296
5,all_sessions,no_graph,RandomForest,5,7204,5,0.9658378357839847,0.0343397840371642,5,0.6060077809398327,0.12288895146164053,5,0.22770025839793284,0.26490731246040305,5,0.2640253301670624,0.26514878360277144,5,0.2299347020443224,0.25481876988879737,3,0.9558516398240893,0.03161631545685426,3,0.4879773655198228,0.18964382495909682,5,0.018450486821736816,0.017150536153983445,5,0.023552738908472415,0.023646133364033296
5,annotated_sessions,full_graph,ExtraTrees,4,6045,4,0.9786264222148251,0.025183385182822635,4,0.5417667684089043,0.09207432686923106,4,0.20945945945945946,0.4189189189189189,4,0.0610236220472441,0.1220472440944882,4,0.09451219512195122,0.18902439024390244,2,0.9790390782915012,0.004307822607353792,2,0.6486306404718014,0.045643555590533194,4,0.014819475893085474,0.01741533791248903,4,0.023616937440594832,0.027303699769128123
5,annotated_sessions,full_graph,HistGradientBoosting,4,6045,4,0.98341785410158,0.01915318448592862,4,0.6662118076990897,0.19240619974833983,4,0.31028368794326244,0.358296440420986,4,0.38078365204349457,0.44410877347089434,4,0.34117522145370704,0.39488095740727686,2,0.9692463663866436,0.021189408827262408,2,0.6637438332676472,0.013946726008408523,4,0.013000551897522675,0.01500536726093984,4,0.023616937440594832,0.027303699769128123
