horizon_s,feature,importance
10,going_to_id,0.024171239315896535
10,soc_band_code,0.02244865593476259
10,hist_stop_share,0.02206711887377873
10,hist_brake_share,0.02174196496366004
10,hist_moving_share,0.020269486690969903
10,type_intersection,0.019387045570409968
10,type_corridor,0.01004185001751048
10,type_station,0.007800186506421198
10,hist_speed_min,0.0056075672009664995
10,low_soc_30,0.005421369786274989
10,low_soc_20,0.0026085734643937503
10,current_graph_valid_edge,0.002397304429703383
10,charging_flag,0.0018290553690126557
10,critical_soc_10,0.0010580259754194084
10,hist_scanner_violation_share,0.0
20,current_distance_to_target_m,0.05388352730042591
20,distance_to_target_m,0.05186360613545769
20,current_power_W,0.04925914541637364
20,hist_soc_mean,0.04555330390716695
20,current_soc,0.04090392358671743
20,hist_power_std,0.04037328591584357
20,hist_soc_min,0.04007275757957972
20,hist_power_mean,0.037697585512309485
20,edge_distance_m,0.03535316502466731
20,current_segment,0.034885668626416705
20,going_to_id,0.03487293106496649
20,snap_dist,0.034213453072486695
20,current_speed,0.033120746348220376
20,hist_target_progress_m,0.03258390792009598
20,hist_xy_motion_m,0.0307188044207155
20,current_edge_distance_m,0.030254048667529922
20,hist_speed_max,0.02886066884624946
20,snap_node,0.02791947890225876
20,soc_band_code,0.027650413639722603
20,hist_soc_drop,0.025807286415283903
20,hist_brake_share,0.025497918200674208
20,hist_speed_mean,0.025033223971647162
20,position_confidence,0.024966557863260352
20,hist_stop_share,0.024348176591141114
20,hist_speed_std,0.02412941794151165
20,node_degree,0.022733797514896695
20,hist_moving_share,0.020964298010924608
20,hist_very_slow_share,0.019597543790202333
20,nav_state,0.019257882967384215
20,type_corridor,0.01492549884154528
20,type_intersection,0.012161262838839466
20,hist_speed_min,0.008613536428665485
20,type_station,0.006507391530930153
20,low_soc_30,0.006133552992253297
20,current_graph_valid_edge,0.003304424134355386
20,charging_flag,0.0023818911834367065
20,low_soc_20,0.002305697775295977
20,critical_soc_10,0.0012902191205478644
20,hist_scanner_violation_share,0.0
