n,positive_rate,threshold,accuracy,macro_f1,precision,recall,f1_positive,roc_auc,pr_auc,brier,tn,fp,fn,tp,horizon_s,feature_set,model,test_session,calibration_source,calibration_method,n_used_features,removed_all_missing_features,removed_motion_features
1732,0.11085450346420324,0.30000000000000004,0.8891454965357968,0.4706601466992665,0.0,0.0,0.0,0.9663436823593072,0.7331975180899032,0.10520138766569817,1540,0,192,0,10,euclidean_no_soc_motion_reduced,RandomForest,S1_LOW_SOC_STRESS,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,16,command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
248,0.0,0.32000000000000006,1.0,0.5,0.0,0.0,0.0,,,3.748552690936045e-07,248,0,0,0,10,euclidean_no_soc_motion_reduced,RandomForest,S2_HIGH_SOC_CONTROL,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,16,command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
1045,0.031578947368421054,0.18000000000000002,0.8669856459330143,0.5573504718892942,0.11594202898550725,0.48484848484848486,0.1871345029239766,0.8862139178344712,0.4892587253466313,0.04317274414837379,890,122,17,16,10,euclidean_no_soc_motion_reduced,RandomForest,S3_MEDIUM_SOC_WHOLETESTING,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,13,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
2547,0.09108755398508049,0.22000000000000003,0.9273655280722418,0.7011232733691795,0.7373737373737373,0.3146551724137931,0.44108761329305135,0.9425737320324719,0.6793046210305765,0.06533739992796839,2289,26,159,73,10,euclidean_no_soc_motion_reduced,RandomForest,S4_SAFETY_RICH_NAVEEN12,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,13,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
579,0.0,0.38000000000000006,1.0,0.5,0.0,0.0,0.0,,,1.8971985334061198e-06,579,0,0,0,10,euclidean_no_soc_motion_reduced,RandomForest,S5_REAL_TMS_JULY10,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,16,command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
1732,0.11085450346420324,0.4600000000000001,0.8891454965357968,0.4706601466992665,0.0,0.0,0.0,0.9755952380952381,0.7465690214765249,0.10860316128820939,1540,0,192,0,10,full_graph_no_soc_motion_reduced,RandomForest,S1_LOW_SOC_STRESS,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,32,command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
248,0.0,0.30000000000000004,1.0,0.5,0.0,0.0,0.0,,,4.784779236843062e-07,248,0,0,0,10,full_graph_no_soc_motion_reduced,RandomForest,S2_HIGH_SOC_CONTROL,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,32,command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
1045,0.031578947368421054,0.4800000000000001,0.937799043062201,0.6486413788465816,0.25,0.48484848484848486,0.32989690721649484,0.8898071625344353,0.46237792811386275,0.04329747692011482,964,48,17,16,10,full_graph_no_soc_motion_reduced,RandomForest,S3_MEDIUM_SOC_WHOLETESTING,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,29,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
2547,0.09108755398508049,0.26,0.9332548095798979,0.7097891130199787,0.8875,0.30603448275862066,0.4551282051282051,0.9597359797423103,0.774390422317104,0.059700100024184286,2306,9,161,71,10,full_graph_no_soc_motion_reduced,RandomForest,S4_SAFETY_RICH_NAVEEN12,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,29,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
579,0.0,0.28,1.0,0.5,0.0,0.0,0.0,,,6.673776837287399e-07,579,0,0,0,10,full_graph_no_soc_motion_reduced,RandomForest,S5_REAL_TMS_JULY10,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,32,command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
