horizon_s,variant,feature_set,test_session,model,p50_ms_row,p95_ms_row,p99_ms_row
5,all_sessions,no_graph,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,0.06575866699999999,0.08043497439999994,0.092539135
5,all_sessions,no_graph,S4_SAFETY_RICH_NAVEEN12,RandomForest,0.066677376,0.07811064129999999,0.0831130785
5,all_sessions,no_graph,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,0.010414999,0.012755738099999999,0.013954222500000002
5,all_sessions,no_graph,S5_REAL_TMS_JULY10,LogisticRegression,0.003213333,0.0034363049,0.0037934694400000002
5,all_sessions,no_graph,S5_REAL_TMS_JULY10,ExtraTrees,0.066308082,0.0740793445,0.09336709306000002
5,all_sessions,no_graph,S5_REAL_TMS_JULY10,RandomForest,0.06702095899999999,0.07127363719999999,0.09100674786000003
5,all_sessions,no_graph,S5_REAL_TMS_JULY10,HistGradientBoosting,0.010831332999999999,0.015500249699999998,0.016732590000000002
5,all_sessions,euclidean_only,S1_LOW_SOC_STRESS,LogisticRegression,0.003178875,0.0033718999999999997,0.0035253171400000003
5,all_sessions,euclidean_only,S1_LOW_SOC_STRESS,ExtraTrees,0.068476292,0.08300835869999995,0.10336407400000003
5,all_sessions,euclidean_only,S1_LOW_SOC_STRESS,RandomForest,0.067894958,0.07731226279999996,0.08974400072000001
5,all_sessions,euclidean_only,S1_LOW_SOC_STRESS,HistGradientBoosting,0.015307583,0.0179482831,0.023967859720000005
5,all_sessions,euclidean_only,S2_HIGH_SOC_CONTROL,LogisticRegression,0.0040378436692506455,0.0047136470284237725,0.005880536175710596
5,all_sessions,euclidean_only,S2_HIGH_SOC_CONTROL,ExtraTrees,0.0909175284237726,0.11106388255813947,0.12968803459948322
5,all_sessions,euclidean_only,S2_HIGH_SOC_CONTROL,RandomForest,0.08996543927648579,0.11058587338501286,0.12659661211886306
5,all_sessions,euclidean_only,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.020943045219638242,0.026094499224806195,0.028177214108527134
5,all_sessions,euclidean_only,S3_MEDIUM_SOC_WHOLETESTING,LogisticRegression,0.003429209,0.0038023999999999996,0.00432116536
