alert_episodes,false_alert_episodes,false_alerts_per_hour,events,warned_events,event_recall,median_lead_s,pct_events_lead_ge_2s,pct_events_lead_ge_5s,horizon_s,variant,feature_set,test_session,model,threshold
0,0,0.0,0,0,,,,,5,all_sessions,full_graph_no_soc,S2_HIGH_SOC_CONTROL,ExtraTrees,0.32000000000000006
0,0,0.0,0,0,,,,,5,all_sessions,full_graph_no_soc,S2_HIGH_SOC_CONTROL,RandomForest,0.22000000000000003
0,0,0.0,0,0,,,,,5,all_sessions,full_graph_no_soc,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.32000000000000006
6,5,15.53062985332183,10,2,0.2,5.0,1.0,1.0,5,all_sessions,full_graph_no_soc,S3_MEDIUM_SOC_WHOLETESTING,LogisticRegression,0.26
3,2,6.2122519413287325,10,2,0.2,4.5,1.0,0.5,5,all_sessions,full_graph_no_soc,S3_MEDIUM_SOC_WHOLETESTING,ExtraTrees,0.42000000000000004
3,2,6.2122519413287325,10,2,0.2,4.0,1.0,0.5,5,all_sessions,full_graph_no_soc,S3_MEDIUM_SOC_WHOLETESTING,RandomForest,0.54
11,9,27.955133735979295,10,2,0.2,4.0,1.0,0.5,5,all_sessions,full_graph_no_soc,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,0.14
12,5,6.460875807609476,32,10,0.3125,5.0,0.8,0.6,5,all_sessions,full_graph_no_soc,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,0.18000000000000002
23,7,9.045226130653267,32,20,0.625,5.0,0.9,0.6,5,all_sessions,full_graph_no_soc,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,0.24000000000000005
27,5,6.460875807609476,32,23,0.71875,3.0,0.8695652173913043,0.30434782608695654,5,all_sessions,full_graph_no_soc,S4_SAFETY_RICH_NAVEEN12,RandomForest,0.26
23,8,10.337401292175162,32,18,0.5625,3.0,0.9444444444444444,0.16666666666666666,5,all_sessions,full_graph_no_soc,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,0.18000000000000002
0,0,0.0,0,0,,,,,5,all_sessions,full_graph_no_soc,S5_REAL_TMS_JULY10,LogisticRegression,0.1
0,0,0.0,0,0,,,,,5,all_sessions,full_graph_no_soc,S5_REAL_TMS_JULY10,ExtraTrees,0.26
0,0,0.0,0,0,,,,,5,all_sessions,full_graph_no_soc,S5_REAL_TMS_JULY10,RandomForest,0.22000000000000003
0,0,0.0,0,0,,,,,5,all_sessions,full_graph_no_soc,S5_REAL_TMS_JULY10,HistGradientBoosting,0.26
20,9,15.083798882681563,25,11,0.44,2.0,0.5454545454545454,0.18181818181818182,5,all_sessions,no_graph,S1_LOW_SOC_STRESS,LogisticRegression,0.14
0,0,0.0,25,0,0.0,,,,5,all_sessions,no_graph,S1_LOW_SOC_STRESS,ExtraTrees,0.16000000000000003
35,15,25.139664804469273,25,20,0.8,2.0,0.55,0.1,5,all_sessions,no_graph,S1_LOW_SOC_STRESS,RandomForest,0.14
32,12,20.11173184357542,25,20,0.8,2.0,0.7,0.1,5,all_sessions,no_graph,S1_LOW_SOC_STRESS,HistGradientBoosting,0.14
0,0,0.0,0,0,,,,,5,all_sessions,no_graph,S2_HIGH_SOC_CONTROL,LogisticRegression,0.22000000000000003
0,0,0.0,0,0,,,,,5,all_sessions,no_graph,S2_HIGH_SOC_CONTROL,ExtraTrees,0.24000000000000005
0,0,0.0,0,0,,,,,5,all_sessions,no_graph,S2_HIGH_SOC_CONTROL,RandomForest,0.26
0,0,0.0,0,0,,,,,5,all_sessions,no_graph,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.24000000000000005
4,3,9.318377911993098,10,2,0.2,4.5,1.0,0.5,5,all_sessions,no_graph,S3_MEDIUM_SOC_WHOLETESTING,LogisticRegression,0.30000000000000004
4,3,9.318377911993098,10,2,0.2,4.0,1.0,0.5,5,all_sessions,no_graph,S3_MEDIUM_SOC_WHOLETESTING,ExtraTrees,0.32000000000000006
