n,positive_rate,threshold,accuracy,macro_f1,precision,recall,f1_positive,roc_auc,pr_auc,brier,tn,fp,fn,tp,horizon_s,variant,feature_set,test_session,model,calibration_source,calibration_method,fit_rows,calibration_rows,test_rows,fit_s,infer_ms_row,n_used_features,removed_all_missing_features
1489,0.14036265950302215,0.3400000000000001,0.8502350570852921,0.7466869898696767,0.47865853658536583,0.7511961722488039,0.5847299813780261,0.925,0.7289464285015873,0.07517741600746791,1109,171,52,157,0,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,RandomForest,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,5454,3664,1489,0.44937004199891817,0.020335096038866705,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
1489,0.14036265950302215,0.32000000000000006,0.8965748824714573,0.7813134203097581,0.6381909547738693,0.6076555023923444,0.6225490196078431,0.9119505083732058,0.7424833361976514,0.07215014311294435,1208,72,82,127,0,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,5454,3664,1489,0.464743875003478,0.004979907989849401,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
3664,0.16293668122270744,0.7000000000000002,0.8728165938864629,0.6708894918191919,0.8324873096446701,0.2747068676716918,0.41309823677581864,0.9477574810253857,0.7843987453347605,0.06942596610925801,3034,33,433,164,0,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,5454,1489,3664,0.02057187500031432,0.0008314001091423457,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
3664,0.16293668122270744,0.5000000000000001,0.9118449781659389,0.8203231951315011,0.8030973451327433,0.6080402010050251,0.6920877025738799,0.9500392954884191,0.813824115658297,0.06679196203093409,2978,89,234,363,0,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,5454,1489,3664,0.20302816700132098,0.008412174672059543,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
3664,0.16293668122270744,0.4800000000000001,0.9033842794759825,0.7900535316100661,0.824,0.5175879396984925,0.6358024691358025,0.9438568781304633,0.7994398885631917,0.06811686268676063,3001,66,288,309,0,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,RandomForest,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,5454,1489,3664,0.4592026669997722,0.008394661845198851,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
3664,0.16293668122270744,0.4600000000000001,0.9042030567685589,0.792735031371038,0.8236842105263158,0.52428810720268,0.6407369498464688,0.9441162993535221,0.7982155266996741,0.06987287853728834,3000,67,284,313,0,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,5454,1489,3664,0.48643395899853203,0.0027930766930785865,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
874,0.0,0.3400000000000001,0.9153318077803204,0.4778972520908005,0.0,0.0,0.0,,,0.04105281606759808,800,74,0,0,0,all_sessions,full_graph,S5_REAL_TMS_JULY10,LogisticRegression,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,6069,3664,874,0.02142945800005691,0.002539044625559519,43,command_mismatch_share_10s|command_mismatch_share_30s
874,0.0,0.4600000000000001,1.0,0.5,0.0,0.0,0.0,,,0.0005485360942302638,874,0,0,0,0,all_sessions,full_graph,S5_REAL_TMS_JULY10,ExtraTrees,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,6069,3664,874,0.22651479100022698,0.034021549202217796,43,command_mismatch_share_10s|command_mismatch_share_30s
874,0.0,0.42000000000000004,1.0,0.5,0.0,0.0,0.0,,,0.00027926066947561105,874,0,0,0,0,all_sessions,full_graph,S5_REAL_TMS_JULY10,RandomForest,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,6069,3664,874,0.4915374590054853,0.03387032723094516,43,command_mismatch_share_10s|command_mismatch_share_30s
874,0.0,0.30000000000000004,1.0,0.5,0.0,0.0,0.0,,,0.00036083064554167456,874,0,0,0,0,all_sessions,full_graph,S5_REAL_TMS_JULY10,HistGradientBoosting,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,6069,3664,874,0.4625814589962829,0.006767877577233941,43,command_mismatch_share_10s|command_mismatch_share_30s
