horizon_s,variant,feature_set,model,folds,positive_test_folds,pr_auc_evaluable_folds,test_rows,macro_f1_mean,pr_auc_mean,f1_positive_mean,recall_mean,brier_mean,macro_f1_sd,pr_auc_sd,f1_positive_sd,recall_sd,brier_sd
5,all_sessions,euclidean_only,HistGradientBoosting,5,3,3,7204,0.6150798835981715,0.5573184392723626,0.24471566325013505,0.23698537682789653,0.017252912103603142,0.13148899169792652,0.2292221772203719,0.2699145556354019,0.2371464012848691,0.015806985597560382
5,all_sessions,euclidean_only,LogisticRegression,5,3,3,7204,0.6276050601595835,0.4302282844420184,0.2707068008430552,0.31492896721243174,0.018650206878825296,0.13695918237054638,0.24927974123414454,0.28427288623030517,0.3055485607058275,0.0174565376733741
5,all_sessions,euclidean_only,RandomForest,5,3,3,7204,0.5854661867776152,0.5870716364893219,0.18417411048989996,0.1655626380035829,0.016161210149398513,0.09752994031223389,0.17412115456821978,0.20360473877609228,0.1873378184616386,0.015089489492910614
5,all_sessions,full_graph,ExtraTrees,5,3,3,7204,0.6022090143137186,0.5191025674307415,0.21500000000000002,0.20163312919218432,0.019539318313074018,0.15357760701615966,0.2565075686995039,0.3100403199585499,0.2918378963032183,0.01966603642763088
5,all_sessions,full_graph,HistGradientBoosting,5,3,3,7204,0.6496144705785073,0.5483166678260755,0.31014591874404956,0.3103112110986127,0.016053763231109592,0.15605740633606957,0.279568015274823,0.3201687280814132,0.31376841060778454,0.014797662524173099
5,all_sessions,full_graph,LogisticRegression,5,3,3,7204,0.5971131993241896,0.3509566564427831,0.21052064385641134,0.22230054576511268,0.01908576554005173,0.09459058740639076,0.25017901032573114,0.20304448124987834,0.20560733452226218,0.018088985032246402
5,all_sessions,full_graph,RandomForest,5,3,3,7204,0.6462136022897175,0.5836545225169631,0.30205348030210244,0.2624688580594092,0.015263521899674925,0.14236396372731444,0.25850606337168675,0.29369318958498086,0.27081165342366686,0.014239089105051998
5,all_sessions,full_graph_no_soc,ExtraTrees,5,3,3,7204,0.6036518245870683,0.5804255446956207,0.21772551772551774,0.20524934383202095,0.0186403848574373,0.1550539489464374,0.21542943517864416,0.3130908276332679,0.30846539743205226,0.019183905723452643
5,all_sessions,full_graph_no_soc,HistGradientBoosting,5,3,3,7204,0.6438277082913694,0.540027836357953,0.3004553010577107,0.32323959505061867,0.016287192783116154,0.1592838313120568,0.29175894539781105,0.32572059520753716,0.3260118034332849,0.014982809362548932
5,all_sessions,full_graph_no_soc,LogisticRegression,5,3,3,7204,0.6055176302664014,0.3634959549412135,0.22665638455112141,0.2371036953714119,0.01853552190728358,0.11622613944259644,0.22419957606010954,0.24238972732557754,0.23202262090380782,0.017563001699193493
