timestamp,X-coordinate,Y-coordinate,Going to ID,Speed,power consumption,Cumulative energy consumption,current consuption,Heading,Target reached,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,Target reached,Current segment,Position confidence,Battery value
07:42.0,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.1,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.1,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.1,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.2,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.2,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.2,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.3,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.3,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.3,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.4,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.4,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.4,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.5,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.5,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.5,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.6,-3.493998,21.81963,1,0,225,198985.2,5383,1.602891,1,0,0,1,74,100,49
07:42.6,-3.493998,21.81833,1,0,225,199018.3,5382,1.602891,1,0,0,1,74,100,49
07:42.6,-3.493998,21.81833,1,0,225,199018.3,5382,1.602891,1,0,0,1,74,100,49
07:42.6,-3.493998,21.81833,1,0,225,199018.3,5382,1.602891,1,0,0,1,74,100,49
07:42.7,-3.493998,21.81833,1,0,225,199018.3,5382,1.602891,1,0,0,1,74,100,49
07:42.7,-3.493998,21.81833,1,0,225,199018.3,5382,1.602891,1,0,0,1,74,100,49
07:42.7,-3.493998,21.81833,1,0,225,199018.3,5382,1.602891,1,0,0,1,74,100,49
07:42.8,-3.493998,21.81833,1,0,225,199018.3,5382,1.602891,1,0,0,1,74,100,49
07:42.8,-3.493998,21.81833,1,0,225,199018.3,5382,1.602891,1,0,0,1,74,100,49
