case_id,automatic_case_type,session,case_time,mission_leg_id,temporal_segment_id
CASE_018,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 16:29:02,S1_LOW_SOC_STRESS_L428,70.0
CASE_019,negative_control,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:56:58,S4_SAFETY_RICH_NAVEEN12_L17,1.0
CASE_020,negative_control,S2_HIGH_SOC_CONTROL,2026-06-18 11:19:04,S2_HIGH_SOC_CONTROL_L15,2.0
CASE_021,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:18:10,S4_SAFETY_RICH_NAVEEN12_L37,1.0
CASE_022,negative_control,S1_LOW_SOC_STRESS,2026-06-22 16:27:02,S1_LOW_SOC_STRESS_L427,70.0
CASE_023,negative_control,S1_LOW_SOC_STRESS,2026-06-22 16:04:12,S1_LOW_SOC_STRESS_L283,47.0
CASE_024,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 16:51:12,S1_LOW_SOC_STRESS_L520,86.0
CASE_025,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:44:43,S4_SAFETY_RICH_NAVEEN12_L11,1.0
CASE_026,detected_onset,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:38:59,S3_MEDIUM_SOC_WHOLETESTING_L60,1.0
CASE_027,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 16:13:51,S1_LOW_SOC_STRESS_L322,52.0
CASE_028,negative_control,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:32:51,S3_MEDIUM_SOC_WHOLETESTING_L46,1.0
CASE_029,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 16:24:46,S1_LOW_SOC_STRESS_L414,68.0
CASE_030,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:43:56,S4_SAFETY_RICH_NAVEEN12_L60,1.0
CASE_031,negative_control,S5_REAL_TMS_JULY10,2026-07-10 10:40:22,S5_REAL_TMS_JULY10_L174,14.0
CASE_032,detected_onset,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:32:15,S3_MEDIUM_SOC_WHOLETESTING_L46,1.0
CASE_033,detected_onset,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:29:40,S3_MEDIUM_SOC_WHOLETESTING_L44,1.0
