case_id,session,case_time,mission_leg_id,expert_label,expert_confidence,expert_reason,reviewer_id,review_date
CASE_031,S5_REAL_TMS_JULY10,2026-07-10 10:40:22,S5_REAL_TMS_JULY10_L174,,,,,
CASE_032,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:32:15,S3_MEDIUM_SOC_WHOLETESTING_L46,,,,,
CASE_033,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:29:40,S3_MEDIUM_SOC_WHOLETESTING_L44,,,,,
CASE_034,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:42:07,S4_SAFETY_RICH_NAVEEN12_L9,,,,,
CASE_035,S1_LOW_SOC_STRESS,2026-06-22 15:52:43,S1_LOW_SOC_STRESS_L250,,,,,
CASE_036,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:10:08,S4_SAFETY_RICH_NAVEEN12_L27,,,,,
CASE_037,S1_LOW_SOC_STRESS,2026-06-22 16:08:29,S1_LOW_SOC_STRESS_L298,,,,,
CASE_038,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:36:47,S4_SAFETY_RICH_NAVEEN12_L3,,,,,
CASE_039,S1_LOW_SOC_STRESS,2026-06-22 16:57:21,S1_LOW_SOC_STRESS_L533,,,,,
CASE_040,S1_LOW_SOC_STRESS,2026-06-22 17:18:13,S1_LOW_SOC_STRESS_L620,,,,,
CASE_041,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:41:58,S3_MEDIUM_SOC_WHOLETESTING_L64,,,,,
CASE_042,S1_LOW_SOC_STRESS,2026-06-22 16:06:15,S1_LOW_SOC_STRESS_L294,,,,,
CASE_043,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:23:34,S4_SAFETY_RICH_NAVEEN12_L47,,,,,
CASE_044,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:22:47,S3_MEDIUM_SOC_WHOLETESTING_L28,,,,,
CASE_045,S1_LOW_SOC_STRESS,2026-06-22 17:03:10,S1_LOW_SOC_STRESS_L549,,,,,
CASE_046,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:20:38,S3_MEDIUM_SOC_WHOLETESTING_L24,,,,,
CASE_047,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:19:30,S3_MEDIUM_SOC_WHOLETESTING_L22,,,,,
CASE_048,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:21:27,S4_SAFETY_RICH_NAVEEN12_L40,,,,,
